epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.5284,1.19307,2.64743,1.57456,0.4953,0.42984,0.41133,0.27433,1.46719,1.94342,1.71222,0.000221953,0.000221953,0.000221953
2,186.118,1.20445,1.91053,1.58386,0.50436,0.46768,0.43362,0.32083,1.38526,1.77043,1.63745,0.000439888,0.000439888,0.000439888
3,274.084,1.22448,1.92181,1.61045,0.7087,0.48393,0.50676,0.36833,1.36174,1.60888,1.56644,0.000653421,0.000653421,0.000653421
4,361.66,1.17554,1.84639,1.57139,0.61361,0.49695,0.50689,0.35538,1.40695,1.56905,1.59786,0.00064719,0.00064719,0.00064719
5,449.157,1.11837,1.73559,1.52605,0.65266,0.47951,0.5073,0.36046,1.39278,1.55534,1.62711,0.000640587,0.000640587,0.000640587
6,536.649,1.11966,1.66087,1.5154,0.66848,0.52222,0.55281,0.41639,1.28599,1.44626,1.4899,0.000633983,0.000633983,0.000633983
7,624.148,1.08065,1.60806,1.47631,0.60411,0.51239,0.54457,0.41415,1.26393,1.42038,1.48248,0.00062738,0.00062738,0.00062738
8,711.957,1.07416,1.57603,1.47896,0.67398,0.50741,0.56132,0.414,1.28416,1.33577,1.47953,0.000620777,0.000620777,0.000620777
9,799.836,1.04408,1.49018,1.44239,0.70564,0.58066,0.60736,0.45419,1.21913,1.30172,1.39574,0.000614174,0.000614174,0.000614174
10,887.895,1.03537,1.48826,1.44948,0.71593,0.5931,0.61824,0.46844,1.23755,1.19841,1.41256,0.00060757,0.00060757,0.00060757
11,975.719,1.01406,1.44068,1.42504,0.71425,0.58098,0.62058,0.45311,1.21015,1.25652,1.38452,0.000600967,0.000600967,0.000600967
12,1063.63,0.99759,1.38341,1.41626,0.70912,0.61156,0.63576,0.47801,1.18434,1.19375,1.37239,0.000594364,0.000594364,0.000594364
13,1151.67,0.97939,1.38158,1.39921,0.75972,0.5912,0.61754,0.4645,1.20302,1.25837,1.39654,0.00058776,0.00058776,0.00058776
14,1239.49,0.97807,1.33229,1.39388,0.70228,0.57625,0.63544,0.47696,1.17233,1.16729,1.34712,0.000581157,0.000581157,0.000581157
15,1327.29,0.95593,1.28944,1.38016,0.77052,0.60836,0.65967,0.50455,1.1326,1.0873,1.32834,0.000574554,0.000574554,0.000574554
16,1415.42,0.96371,1.29586,1.38816,0.76157,0.65247,0.67406,0.51121,1.132,1.06634,1.31325,0.00056795,0.00056795,0.00056795
17,1488.53,0.96159,1.29849,1.38318,0.80888,0.63038,0.67667,0.51053,1.15156,1.04141,1.33575,0.000561347,0.000561347,0.000561347
18,1568.16,0.95786,1.24649,1.36582,0.81393,0.65415,0.67751,0.52182,1.10539,1.00214,1.28244,0.000554744,0.000554744,0.000554744
19,1635.61,0.95172,1.22943,1.36445,0.78776,0.63617,0.68802,0.52695,1.10111,0.9985,1.28157,0.000548141,0.000548141,0.000548141
20,1701.43,0.92859,1.21001,1.35368,0.78278,0.64647,0.68956,0.53625,1.07728,0.98226,1.27094,0.000541537,0.000541537,0.000541537
21,1775.2,0.92861,1.18131,1.34174,0.79089,0.66101,0.68271,0.5195,1.09197,0.97442,1.27178,0.000534934,0.000534934,0.000534934
22,1838.81,0.91839,1.17351,1.35039,0.80394,0.65386,0.70261,0.53818,1.08105,0.95857,1.26413,0.000528331,0.000528331,0.000528331
23,1910.73,0.91623,1.14627,1.3457,0.82192,0.67922,0.72191,0.56672,1.04495,0.8981,1.24531,0.000521727,0.000521727,0.000521727
24,1998.02,0.89847,1.11789,1.32655,0.80506,0.66935,0.70254,0.54942,1.06049,0.91223,1.23638,0.000515124,0.000515124,0.000515124
25,2085.17,0.91062,1.13048,1.32914,0.80518,0.66387,0.70781,0.5568,1.04974,0.90605,1.22537,0.000508521,0.000508521,0.000508521
26,2172.41,0.91817,1.14962,1.34162,0.80983,0.66619,0.70633,0.55612,1.06969,0.94836,1.27622,0.000501917,0.000501917,0.000501917
27,2259.74,0.89196,1.08902,1.32047,0.84152,0.67128,0.72558,0.56629,1.03292,0.85146,1.21118,0.000495314,0.000495314,0.000495314
28,2346.99,0.87609,1.07503,1.31319,0.74807,0.67102,0.69916,0.55534,1.03375,0.91163,1.23287,0.000488711,0.000488711,0.000488711
29,2434.3,0.88197,1.08256,1.31211,0.83944,0.68376,0.72623,0.56566,1.05545,0.85567,1.23006,0.000482108,0.000482108,0.000482108
30,2521.66,0.88242,1.07627,1.31239,0.79423,0.68234,0.7123,0.5545,1.02347,0.88077,1.1998,0.000475504,0.000475504,0.000475504
31,2608.8,0.87313,1.05464,1.30952,0.80984,0.69106,0.72207,0.57317,1.02937,0.84002,1.21914,0.000468901,0.000468901,0.000468901
32,2696.09,0.86802,1.04861,1.30026,0.7321,0.6733,0.72121,0.56862,0.98062,0.82548,1.15846,0.000462298,0.000462298,0.000462298
33,2783.41,0.86347,1.04403,1.30064,0.79213,0.70214,0.73809,0.57902,0.99345,0.85153,1.17421,0.000455694,0.000455694,0.000455694
34,2870.75,0.84722,1.0064,1.28297,0.70232,0.69846,0.7144,0.56445,1.03255,0.85665,1.21479,0.000449091,0.000449091,0.000449091
35,2958.06,0.86207,1.00942,1.29583,0.82196,0.65881,0.71643,0.56714,1.01988,0.86819,1.22361,0.000442488,0.000442488,0.000442488
36,3045.47,0.84543,0.99729,1.27382,0.85099,0.67571,0.73047,0.58283,0.96664,0.82062,1.15509,0.000435884,0.000435884,0.000435884
37,3132.88,0.86051,1.01016,1.28787,0.81738,0.69343,0.72311,0.5821,1.00736,0.80677,1.2037,0.000429281,0.000429281,0.000429281
38,3220.01,0.84321,0.97122,1.28475,0.81502,0.68267,0.71921,0.57077,0.98762,0.81996,1.17142,0.000422678,0.000422678,0.000422678
39,3307.2,0.83728,0.97336,1.27611,0.84136,0.68058,0.72827,0.5749,0.98871,0.80801,1.17532,0.000416075,0.000416075,0.000416075
40,3394.59,0.82211,0.94143,1.26313,0.70325,0.6983,0.72165,0.57453,1.00161,0.81903,1.18623,0.000409471,0.000409471,0.000409471
41,3481.81,0.82558,0.94598,1.26818,0.75947,0.67852,0.73381,0.58348,0.99275,0.81304,1.17667,0.000402868,0.000402868,0.000402868
42,3569.16,0.82322,0.92771,1.26672,0.81526,0.71095,0.73674,0.5802,0.98418,0.77552,1.17349,0.000396265,0.000396265,0.000396265
43,3656.41,0.81983,0.91078,1.26068,0.8328,0.69517,0.73174,0.58451,0.99824,0.79897,1.17529,0.000389661,0.000389661,0.000389661
44,3743.68,0.81249,0.92449,1.26103,0.86819,0.69096,0.74125,0.58682,0.97807,0.76104,1.15182,0.000383058,0.000383058,0.000383058
45,3830.81,0.82105,0.92211,1.26036,0.83518,0.71052,0.73816,0.59031,0.98269,0.75606,1.16587,0.000376455,0.000376455,0.000376455
46,3918.09,0.81587,0.90664,1.26054,0.81438,0.69644,0.73007,0.58438,0.96495,0.75454,1.16261,0.000369851,0.000369851,0.000369851
47,4005.37,0.79818,0.8873,1.24003,0.72787,0.71338,0.74224,0.58828,0.95016,0.74591,1.15225,0.000363248,0.000363248,0.000363248
48,4092.5,0.81001,0.8966,1.25603,0.83841,0.70001,0.73344,0.58145,0.95571,0.74779,1.14432,0.000356645,0.000356645,0.000356645
49,4179.74,0.78509,0.88129,1.24038,0.8797,0.69397,0.73638,0.59238,0.95198,0.7444,1.13971,0.000350042,0.000350042,0.000350042
50,4266.95,0.79238,0.8772,1.23928,0.72573,0.70548,0.73429,0.59359,0.96885,0.7321,1.15866,0.000343438,0.000343438,0.000343438
51,4354.22,0.80631,0.87431,1.24963,0.8674,0.70461,0.73819,0.59059,0.94375,0.73751,1.13982,0.000336835,0.000336835,0.000336835
52,4441.37,0.7874,0.85303,1.23835,0.8261,0.70211,0.7351,0.59196,0.94299,0.70841,1.13183,0.000330232,0.000330232,0.000330232
53,4528.69,0.78617,0.84935,1.23874,0.84134,0.69872,0.74241,0.59401,0.95385,0.73714,1.15712,0.000323628,0.000323628,0.000323628
54,4615.89,0.78285,0.85486,1.23467,0.83999,0.70873,0.74482,0.60239,0.93988,0.74003,1.14006,0.000317025,0.000317025,0.000317025
55,4703.18,0.77902,0.83534,1.23574,0.85617,0.71393,0.74429,0.59925,0.93024,0.7188,1.12482,0.000310422,0.000310422,0.000310422
56,4790.63,0.77735,0.8269,1.22453,0.75448,0.72513,0.75086,0.60727,0.91833,0.70578,1.10396,0.000303818,0.000303818,0.000303818
57,4877.82,0.78231,0.82462,1.23419,0.80442,0.72375,0.73966,0.5994,0.94185,0.70666,1.12918,0.000297215,0.000297215,0.000297215
58,4965.18,0.77904,0.81896,1.2231,0.82283,0.70362,0.73185,0.59348,0.93291,0.74388,1.12209,0.000290612,0.000290612,0.000290612
59,5044.96,0.77287,0.81208,1.22169,0.84468,0.71938,0.74852,0.60354,0.94451,0.70125,1.12994,0.000284009,0.000284009,0.000284009
60,5127.46,0.74624,0.79026,1.20865,0.84231,0.72563,0.74732,0.60235,0.94281,0.69959,1.13575,0.000277405,0.000277405,0.000277405
61,5193.53,0.75831,0.78693,1.21412,0.84964,0.72122,0.75333,0.60634,0.94259,0.6991,1.13159,0.000270802,0.000270802,0.000270802
62,5280.99,0.75061,0.79268,1.2091,0.8406,0.72836,0.75333,0.60547,0.96215,0.71456,1.15459,0.000264199,0.000264199,0.000264199
63,5362.8,0.75406,0.78461,1.20929,0.84253,0.71343,0.74875,0.60828,0.92359,0.69299,1.1264,0.000257595,0.000257595,0.000257595
64,5429.98,0.75009,0.77327,1.20874,0.85359,0.71188,0.74454,0.60506,0.93084,0.70143,1.12865,0.000250992,0.000250992,0.000250992
65,5498.59,0.75833,0.76846,1.20493,0.86162,0.71452,0.75484,0.61328,0.911,0.66909,1.10827,0.000244389,0.000244389,0.000244389
66,5565.55,0.7314,0.75274,1.19167,0.84122,0.73461,0.7532,0.61169,0.93214,0.7051,1.11883,0.000237785,0.000237785,0.000237785
67,5634.92,0.73664,0.75452,1.20208,0.89536,0.71725,0.76168,0.61433,0.92292,0.6645,1.12081,0.000231182,0.000231182,0.000231182
68,5703.66,0.73085,0.73328,1.18973,0.88548,0.72505,0.76255,0.6158,0.92663,0.66259,1.1194,0.000224579,0.000224579,0.000224579
69,5772.24,0.71872,0.72127,1.18118,0.871,0.72748,0.75922,0.61489,0.90336,0.67087,1.10272,0.000217976,0.000217976,0.000217976
70,5838.59,0.72911,0.73071,1.19113,0.86639,0.72457,0.75306,0.61407,0.924,0.67007,1.11783,0.000211372,0.000211372,0.000211372
71,5904.42,0.72871,0.73839,1.19148,0.85707,0.73397,0.75649,0.61119,0.91598,0.66937,1.10993,0.000204769,0.000204769,0.000204769
